,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
53,(주)에이치디,102210,2017/12,2021/04/19,1,33101,  기타 운송장비 제조업,4
54,(주)에이팸,73070,2017/12,2021/06/04,1,33003,  자동차 및 트레일러 제조업,4
55,(주)에임하이글로벌,43580,2017/12,2018/08/10,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
56,(주)에코바이브,15540,2017/12,2023/11/07,1,147509,  사업지원 서비스업,4
57,(주)에프티이앤이,65160,2017/12,2019/05/03,1,32005,  화학물질 및 화학제품 제조업; 의약품 제외,4
58,(주)엔에스쇼핑,138250,2017/12,2022/03/22,1,74709,  소매업; 자동차 제외,4
59,(주)엔케이맥스,262760,2017/12,2019/07/04,1,32102,  의료용 물질 및 의약품 제조업,4
60,(주)엘엑스세미콘,108320,2017/12,2022/11/03,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
61,(주)엘피케이로보틱스,183350,2017/12,2020/06/17,1,32902,  기타 기계 및 장비 제조업,4
62,(주)엠씨넥스,97520,2017/12,2021/07/06,1,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
63,(주)엠앤씨생명과학,225860,2017/12,2022/04/27,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
64,(주)엠피씨플러스,50540,2017/12,2023/05/08,1,147509,  사업지원 서비스업,4
65,(주)연이비앤티,90740,2017/12,2022/10/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
66,(주)영현무역,242850,2017/12,2019/05/22,1,74601,  도매 및 상품 중개업,4
67,(주)우성아이비,194610,2017/12,2018/10/12,1,33309,  기타 제품 제조업,4
68,(주)원바이오젠,278380,2017/12,2021/02/09,1,32103,  의료용 물질 및 의약품 제조업,4
69,(주)원익테라세미콘,123100,2017/12,2019/02/20,1,32902,  기타 기계 및 장비 제조업,4
70,(주)원익피앤이,131390,2017/12,2022/11/29,1,32801,  전기장비 제조업,4
71,(주)위너지스,26260,2017/12,2018/10/11,1,74608,  도매 및 상품 중개업,4
72,(주)유디피,91270,2017/12,2018/04/18,1,105802,  출판업,4
73,(주)유쎌,252370,2017/12,2020/02/27,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
74,(주)이매진아시아,36260,2017/12,2021/02/15,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
75,(주)이십일스토어,270020,2017/12,2022/04/14,1,32309,  비금속 광물제품 제조업,4
76,(주)이엠네트웍스,87730,2017/12,2021/10/08,1,32002,  화학물질 및 화학제품 제조업; 의약품 제외,4
77,(주)인산가,62580,2017/12,2018/09/11,1,31007,  식료품 제조업,4
